Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Germany,2021-06-16,48054153,5332732,10375767,1580856,0
Germany,2021-06-17,48945417,5436566,10468409,1652616,0
Germany,2021-06-18,49651343,5531469,10564205,1721357,0
Germany,2021-06-19,49916537,5614036,10615479,1747735,0
Germany,2021-06-20,50082610,5685373,10645887,1758860,0
Germany,2021-06-21,50485758,5783278,10733165,1792800,0
Germany,2021-06-22,51412375,5879447,10839956,1825397,0
Germany,2021-06-23,52583959,5976041,10960327,1862321,0
Germany,2021-06-24,53377760,6063647,11074106,1904324,0
Germany,2021-06-25,54052569,6140110,11180085,1945559,0
Germany,2021-06-26,54302572,6209442,11254682,1962344,0
Germany,2021-06-27,54463488,6267674,11310279,1966562,0
Germany,2021-06-28,54853619,6357560,11425146,1990062,0
Germany,2021-06-29,55603570,6450155,11564705,2012746,0
Germany,2021-06-30,56473564,6544569,11707915,2033799,0
Germany,2021-07-01,57197707,6627229,11834622,2055659,0
Germany,2021-07-02,57832571,6721178,11910180,2077515,0
Germany,2021-07-03,58088349,6800820,11938176,2093886,0
Germany,2021-07-04,58255865,6869073,11950212,2101930,0
Germany,2021-07-05,58638358,6963146,11987760,2117659,0
Germany,2021-07-06,59322200,7061567,12034570,2133890,0
Germany,2021-07-07,60225352,7156430,12087412,2152536,0
Germany,2021-07-08,60933877,7256696,12130875,2172982,0
Germany,2021-07-09,61505331,7354498,12171329,2191683,0
Germany,2021-07-10,61724857,7439615,12192861,2203254,0
Germany,2021-07-11,61861847,7503557,12202833,2211904,0
Germany,2021-07-12,62209334,7582436,12228024,2226820,0
Germany,2021-07-13,62903757,7659140,12264979,2246612,0
Germany,2021-07-14,63817996,7730782,12313874,2271136,0
Germany,2021-07-15,64470128,7801141,12353101,2294571,0
Germany,2021-07-16,64997525,7865282,12381705,2316569,0
Germany,2021-07-17,65179738,7928681,12397084,2335379,0
Germany,2021-07-18,65296399,7970554,12407445,2345845,0
Germany,2021-07-19,65584428,8021143,12425241,2359013,0
Germany,2021-07-20,66160942,8069125,12446794,2372497,0
Germany,2021-07-21,66890216,8114813,12470031,2386657,0
Germany,2021-07-22,67470194,8158360,12489881,2400987,0
Germany,2021-07-23,67934070,8200384,12505450,2417936,0
Germany,2021-07-24,68085947,8238781,12512777,2430288,0
Germany,2021-07-25,68157562,8270391,12515636,2436172,0
Germany,2021-07-26,68427600,8309410,12528450,2447587,0
