AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2022,6.232,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2021,14.015,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,1.6,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2022,2187.555,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2021,3492.272,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,386.764,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,2267.476,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2022,808.693,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2021,1108.178,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2021,290.201,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,623.63,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2021,2422.267,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,8095.986,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2022,2207.714,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,65.682,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2022,9.676,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2021,13.197,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,1265.158,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,5.968,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,378.726,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2023,477.702,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2022,6.854,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,2.982,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2021,14.728,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2022,4007.645,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2021,1797.445,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2020,88.038,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2022,72.635,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2021,140.52,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2020,1524.726,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2020,4301.211,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2021,5422.792,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2021,383.135,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2021,1827.028,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2022,576.917,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2020,607.635,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2020,903.853,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2020,5.171,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2021,755.885,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2021,3759.152,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2020,70.227,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2022,112.502,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2021,212.944,6,Millions
CHL,Chile,Annual,Expenditure,"US dollars, PPP converted",,,2020,143.744,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2022,5785.009,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2021,17554.071,6,Millions
COL,Colombia,Annual,Expenditure,"US dollars, PPP converted",,,2020,5580.605,6,Millions
