Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Austria,6/11/2021,9015850,1100921,1591567,348241,0
Austria,7/11/2021,9082455,1105233,1591625,348924,0
Austria,8/11/2021,9149060,1109546,1591683,349607,0
Austria,9/11/2021,9215664,1113858,1591740,350289,0
Austria,10/11/2021,9282269,1118171,1591798,350972,0
Austria,11/11/2021,9348874,1122483,1591856,351655,0
Austria,12/11/2021,9415479,1126796,1591914,352338,0
Austria,13/11/2021,9507855,1133257,1591953,352776,0
Austria,14/11/2021,9600232,1139718,1591992,353214,0
Austria,15/11/2021,9692609,1146180,1592032,353652,0
Austria,16/11/2021,9784986,1152641,1592071,354090,0
Austria,17/11/2021,9877363,1159103,1592111,354528,0
Austria,18/11/2021,9969740,1165564,1592150,354966,0
Austria,19/11/2021,10062117,1172026,1592190,355405,0
Austria,20/11/2021,10165574,1181923,1592229,355669,0
Austria,21/11/2021,10269031,1191821,1592269,355933,0
Austria,22/11/2021,10372489,1201719,1592308,356197,0
Austria,23/11/2021,10475946,1211617,1592348,356461,0
Austria,24/11/2021,10579404,1221515,1592387,356725,0
Austria,25/11/2021,10682861,1231413,1592427,356989,0
Austria,26/11/2021,10786319,1241311,1592467,357253,0
Austria,27/11/2021,10885087,1252124,1592492,357435,0
Austria,28/11/2021,10983856,1262937,1592518,357618,0
Austria,29/11/2021,11082625,1273751,1592543,357801,0
Austria,30/11/2021,11181394,1284564,1592569,357984,0
Austria,1/12/2021,11280163,1295378,1592594,358167,0
Austria,2/12/2021,11378932,1306191,1592620,358350,0
Austria,3/12/2021,11477701,1317005,1592646,358533,0
Austria,4/12/2021,11564055,1327265,1592658,358724,0
Austria,5/12/2021,11650409,1337525,1592671,358916,0
Austria,6/12/2021,11736763,1347786,1592683,359107,0
Austria,7/12/2021,11823117,1358046,1592696,359299,0
Austria,8/12/2021,11909471,1368307,1592708,359490,0
Austria,9/12/2021,11995825,1378567,1592721,359682,0
Austria,10/12/2021,12082180,1388828,1592734,359874,0
Austria,11/12/2021,12170951,1397624,1592742,360135,0
Austria,12/12/2021,12259722,1406420,1592750,360397,0
Austria,13/12/2021,12348494,1415216,1592758,360659,0
