Country,Code,Year,OBS_VALUE
Africa,,2022,641168900.0
Africa,,2022,642163000.0
Africa,,2022,643148600.0
Africa,,2022,644372400.0
Africa,,2022,645610560.0
Africa,,2022,646872000.0
Africa,,2022,648174460.0
Africa,,2022,649403600.0
Africa,,2022,650628600.0
Africa,,2022,651853800.0
Africa,,2022,653123840.0
Africa,,2022,654393300.0
Africa,,2022,655665340.0
Africa,,2022,656937660.0
Africa,,2022,658209540.0
Africa,,2022,659480500.0
Africa,,2022,660746500.0
Africa,,2022,661682370.0
Africa,,2022,662624600.0
Africa,,2022,663545900.0
Africa,,2022,664468160.0
Africa,,2022,665390340.0
Africa,,2022,666580860.0
Africa,,2022,667765100.0
Africa,,2022,669121200.0
Africa,,2022,670207600.0
Africa,,2022,671294600.0
Africa,,2022,672382600.0
Africa,,2022,673396700.0
Africa,,2022,674406300.0
Africa,,2022,675415800.0
Africa,,2022,676606300.0
Africa,,2022,677803970.0
Africa,,2022,678996000.0
Africa,,2022,680186900.0
Africa,,2022,681346300.0
Africa,,2022,682504800.0
Africa,,2022,683658200.0
Africa,,2022,684574600.0
Africa,,2022,685491100.0
Africa,,2022,686411000.0
Africa,,2022,687332160.0
Africa,,2022,688242400.0
Africa,,2022,689151170.0
Africa,,2022,690054000.0
Africa,,2022,690699500.0
Africa,,2022,691351500.0
Africa,,2022,692004860.0
Africa,,2022,692660030.0
Africa,,2022,693315140.0
Africa,,2022,693968800.0
Africa,,2022,694615740.0
Africa,,2022,695438100.0
Africa,,2022,696268900.0
Africa,,2022,697110140.0
Africa,,2022,697951740.0
Africa,,2022,698793000.0
Africa,,2022,699632960.0
Africa,,2022,700466400.0
Africa,,2022,702232640.0
Africa,,2022,704005250.0
Africa,,2022,705777700.0
Africa,,2022,707551100.0
Africa,,2022,709325500.0
Africa,,2022,711097500.0
Africa,,2022,712864060.0
Africa,,2022,714205800.0
Africa,,2022,715494700.0
Africa,,2022,716784260.0
Africa,,2022,718073500.0
Africa,,2022,719362000.0
Africa,,2022,720648060.0
Africa,,2022,721929150.0
Africa,,2022,723305900.0
Africa,,2022,724687100.0
Africa,,2022,726069760.0
Africa,,2022,727451300.0
Africa,,2022,728833000.0
Africa,,2022,730213300.0
Africa,,2022,731589570.0
Africa,,2022,732633300.0
Africa,,2022,733695900.0
Africa,,2022,734760800.0
Africa,,2022,735826500.0
Africa,,2022,736890100.0
Africa,,2022,737950660.0
Africa,,2022,739011400.0
Africa,,2022,739642900.0
Africa,,2022,740274370.0
Africa,,2022,740912300.0
Africa,,2022,741550000.0
Africa,,2022,742190900.0
Africa,,2022,742830500.0
Africa,,2022,743469300.0
Africa,,2022,744109100.0
Africa,,2022,744757400.0
Africa,,2022,745405700.0
Africa,,2022,746054000.0
Africa,,2022,746702300.0
Africa,,2022,747350600.0
Africa,,2023,747998900.0
Africa,,2023,748629000.0
Africa,,2023,749246460.0
Africa,,2023,749867650.0
Africa,,2023,750488800.0
Africa,,2023,751109950.0
Africa,,2023,751728260.0
Africa,,2023,752346600.0
Africa,,2023,752891900.0
Africa,,2023,753437200.0
Africa,,2023,753982460.0
Africa,,2023,754527740.0
Africa,,2023,755073000.0
Africa,,2023,755618370.0
Africa,,2023,756163650.0
Africa,,2023,756609000.0
Africa,,2023,757054900.0
Africa,,2023,757500160.0
Africa,,2023,757945500.0
Africa,,2023,758390800.0
Africa,,2023,758836100.0
Africa,,2023,759281340.0
Africa,,2023,759713600.0
Africa,,2023,760145860.0
Africa,,2023,760578100.0
