REF_AREA,Reference area,Health function,Price base,TIME_PERIOD,OBS_VALUE
ISL,Iceland,COVID-19 related investment costs,Constant prices,2021,1.2116433106301556
ISL,Iceland,COVID-19 related treatment costs,Constant prices,2021,3.7065228892865316
ISL,Iceland,COVID-19 related costs for vaccination,Constant prices,2021,2.61863593949627
ISR,Israel,COVID-19 related investment costs,Constant prices,2021,5.674013750382569
ISR,Israel,COVID-19 related costs for medical goods,Constant prices,2021,4.02720711123461
ISR,Israel,COVID-19 related costs for vaccination,Constant prices,2021,6.687164716018108
ISR,Israel,COVID-19 related treatment costs,Constant prices,2021,6.5215647175836695
KOR,Korea,COVID-19 related treatment costs,Constant prices,2021,7.494677681628314
KOR,Korea,COVID-19 related costs for vaccination,Constant prices,2021,8.77879762882671
KOR,Korea,COVID-19 related investment costs,Constant prices,2021,4.338061685408402
KOR,Korea,COVID-19 related costs for medical goods,Constant prices,2021,6.308599226842434
LTU,Lithuania,COVID-19 related costs for medical goods,Constant prices,2021,3.026212980807578
LTU,Lithuania,COVID-19 related costs for vaccination,Constant prices,2021,4.302631633859629
LUX,Luxembourg,COVID-19 related costs for medical goods,Constant prices,2021,3.3851357481148048
LUX,Luxembourg,COVID-19 related treatment costs,Constant prices,2021,4.348624958039851
LUX,Luxembourg,COVID-19 related investment costs,Constant prices,2021,2.876441852362667
LUX,Luxembourg,COVID-19 related costs for vaccination,Constant prices,2021,4.1886694082596625
LVA,Latvia,COVID-19 related treatment costs,Constant prices,2021,6.174737734291404
LVA,Latvia,COVID-19 related costs for medical goods,Constant prices,2021,2.9419094668564845
LVA,Latvia,COVID-19 related costs for vaccination,Constant prices,2021,4.80601904739593
NLD,Netherlands,COVID-19 related costs for vaccination,Constant prices,2021,7.510993069183439
NLD,Netherlands,COVID-19 related treatment costs,Constant prices,2021,7.553933485997811
NLD,Netherlands,COVID-19 related costs for medical goods,Constant prices,2021,6.5554450813784655
NOR,Norway,COVID-19 related costs for vaccination,Constant prices,2021,5.220063890577703
ROU,Romania,COVID-19 related costs for vaccination,Constant prices,2021,6.520473841307601
SWE,Sweden,COVID-19 related costs for vaccination,Constant prices,2021,5.538569723999614
AUS,Australia,COVID-19 related investment costs,Current prices,2021,5.737152774131307
AUS,Australia,COVID-19 related treatment costs,Current prices,2021,8.598550480802329
AUS,Australia,COVID-19 related costs for vaccination,Current prices,2021,8.232214661098766
AUS,Australia,COVID-19 related costs for medical goods,Current prices,2021,7.390787417417392
AUT,Austria,COVID-19 related costs for medical goods,Current prices,2021,5.599451058922986
AUT,Austria,COVID-19 related treatment costs,Current prices,2021,4.682057150306526
AUT,Austria,COVID-19 related costs for vaccination,Current prices,2021,6.69562090368724
BEL,Belgium,COVID-19 related treatment costs,Current prices,2021,6.942912941420272
BEL,Belgium,COVID-19 related costs for medical goods,Current prices,2021,7.229366927716907
BEL,Belgium,COVID-19 related costs for vaccination,Current prices,2021,6.513068376765796
BGR,Bulgaria,COVID-19 related treatment costs,Current prices,2021,7.526657785737423
BGR,Bulgaria,COVID-19 related costs for vaccination,Current prices,2021,5.221144703021469
BGR,Bulgaria,COVID-19 related investment costs,Current prices,2021,3.8802226928783483
BGR,Bulgaria,COVID-19 related costs for medical goods,Current prices,2021,4.211193828718393
