STRUCTURE_NAME,ACTION,COUNTRY,Country,WEEK,GENDER,AGE,Age,VARIABLE,Variable,Year,Deaths,Observation Value,Month,Expenditure
"Mortality, by week",I,CAN,Canada,11,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1,,3,13.024
"Mortality, by week",I,CAN,Canada,12,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,10,,3,13.024
"Mortality, by week",I,CAN,Canada,13,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,24,,4,13.024
"Mortality, by week",I,CAN,Canada,14,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,152,,4,13.024
"Mortality, by week",I,CAN,Canada,15,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,381,,4,13.024
"Mortality, by week",I,CAN,Canada,16,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,738,,4,13.024
"Mortality, by week",I,CAN,Canada,17,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,993,,5,13.024
"Mortality, by week",I,CAN,Canada,18,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1083,,5,13.024
"Mortality, by week",I,CAN,Canada,19,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1174,,5,13.024
"Mortality, by week",I,CAN,Canada,20,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,990,,5,13.024
"Mortality, by week",I,CAN,Canada,21,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,686,,6,13.024
"Mortality, by week",I,CAN,Canada,22,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,727,,6,13.024
"Mortality, by week",I,CAN,Canada,23,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,724,,6,13.024
"Mortality, by week",I,CAN,Canada,24,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,338,,6,13.024
"Mortality, by week",I,CAN,Canada,25,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,297,,7,13.024
"Mortality, by week",I,CAN,Canada,26,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,157,,7,13.024
"Mortality, by week",I,CAN,Canada,27,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,152,,7,13.024
"Mortality, by week",I,CAN,Canada,28,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,96,,7,13.024
"Mortality, by week",I,CAN,Canada,29,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,79,,8,13.024
"Mortality, by week",I,CAN,Canada,30,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,42,,8,13.024
"Mortality, by week",I,CAN,Canada,31,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,53,,8,13.024
"Mortality, by week",I,CAN,Canada,32,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,35,,8,13.024
"Mortality, by week",I,CAN,Canada,33,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,50,,9,13.024
"Mortality, by week",I,CAN,Canada,34,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,44,,9,13.024
"Mortality, by week",I,CAN,Canada,35,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,49,,9,13.024
"Mortality, by week",I,CAN,Canada,36,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,29,,9,13.024
"Mortality, by week",I,CAN,Canada,37,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,22,,10,13.024
"Mortality, by week",I,CAN,Canada,38,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,41,,10,13.024
"Mortality, by week",I,CAN,Canada,39,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,50,,10,13.024
"Mortality, by week",I,CAN,Canada,40,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,153,,10,13.024
"Mortality, by week",I,CAN,Canada,41,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,175,,11,13.024
"Mortality, by week",I,CAN,Canada,42,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,136,,11,13.024
"Mortality, by week",I,CAN,Canada,43,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,163,,11,13.024
"Mortality, by week",I,CAN,Canada,44,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,216,,11,13.024
"Mortality, by week",I,CAN,Canada,45,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,320,,12,13.024
"Mortality, by week",I,CAN,Canada,46,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,391,,12,13.024
"Mortality, by week",I,CAN,Canada,47,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,500,,12,13.024
